country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ574805,CZ053,CZ0
czechia,CZ574813,CZ053,CZ0
czechia,CZ574821,CZ053,CZ0
czechia,CZ574830,CZ053,CZ0
czechia,CZ574848,CZ053,CZ0
czechia,CZ574856,CZ053,CZ0
czechia,CZ574864,CZ053,CZ0
czechia,CZ574899,CZ053,CZ0
czechia,CZ574902,CZ053,CZ0
czechia,CZ574911,CZ053,CZ0
czechia,CZ574929,CZ053,CZ0
czechia,CZ574953,CZ053,CZ0
czechia,CZ574961,CZ053,CZ0
czechia,CZ574988,CZ053,CZ0
czechia,CZ574996,CZ053,CZ0
czechia,CZ575011,CZ053,CZ0
czechia,CZ575046,CZ053,CZ0
czechia,CZ575054,CZ053,CZ0
czechia,CZ575062,CZ053,CZ0
czechia,CZ575071,CZ053,CZ0
czechia,CZ575089,CZ053,CZ0
czechia,CZ575097,CZ053,CZ0
czechia,CZ575101,CZ053,CZ0
czechia,CZ575119,CZ053,CZ0
czechia,CZ575127,CZ053,CZ0
czechia,CZ575135,CZ053,CZ0
czechia,CZ575143,CZ053,CZ0
czechia,CZ575151,CZ053,CZ0
czechia,CZ575178,CZ053,CZ0
czechia,CZ575194,CZ053,CZ0
czechia,CZ575232,CZ053,CZ0
czechia,CZ575259,CZ053,CZ0
czechia,CZ575305,CZ053,CZ0
czechia,CZ575313,CZ053,CZ0
czechia,CZ575330,CZ053,CZ0
czechia,CZ575372,CZ053,CZ0
czechia,CZ575381,CZ053,CZ0
czechia,CZ575399,CZ053,CZ0
czechia,CZ575429,CZ053,CZ0
czechia,CZ575437,CZ053,CZ0
czechia,CZ575445,CZ053,CZ0
czechia,CZ575461,CZ053,CZ0
czechia,CZ575470,CZ053,CZ0
czechia,CZ575500,CZ053,CZ0
czechia,CZ575518,CZ053,CZ0
czechia,CZ575526,CZ053,CZ0
czechia,CZ575534,CZ053,CZ0
czechia,CZ575542,CZ053,CZ0
czechia,CZ575551,CZ053,CZ0
czechia,CZ575569,CZ053,CZ0
czechia,CZ575577,CZ053,CZ0
czechia,CZ575593,CZ053,CZ0
czechia,CZ575607,CZ053,CZ0
czechia,CZ575615,CZ053,CZ0
czechia,CZ575623,CZ053,CZ0
czechia,CZ575640,CZ053,CZ0
czechia,CZ575658,CZ053,CZ0
czechia,CZ575666,CZ053,CZ0
czechia,CZ575682,CZ053,CZ0
czechia,CZ575704,CZ053,CZ0
czechia,CZ575712,CZ053,CZ0
czechia,CZ575721,CZ053,CZ0
czechia,CZ575739,CZ053,CZ0
czechia,CZ575755,CZ053,CZ0
czechia,CZ575763,CZ053,CZ0
czechia,CZ575771,CZ053,CZ0
czechia,CZ575780,CZ053,CZ0
czechia,CZ575810,CZ053,CZ0
czechia,CZ575828,CZ053,CZ0
czechia,CZ575844,CZ053,CZ0
czechia,CZ575861,CZ053,CZ0
czechia,CZ575879,CZ053,CZ0
czechia,CZ575887,CZ053,CZ0
czechia,CZ575909,CZ053,CZ0
czechia,CZ575917,CZ053,CZ0
czechia,CZ575925,CZ053,CZ0
czechia,CZ575933,CZ053,CZ0
czechia,CZ575941,CZ053,CZ0
czechia,CZ575968,CZ053,CZ0
czechia,CZ575984,CZ053,CZ0
czechia,CZ575992,CZ053,CZ0
czechia,CZ576000,CZ053,CZ0
czechia,CZ576018,CZ053,CZ0
czechia,CZ576026,CZ053,CZ0
czechia,CZ576042,CZ053,CZ0
czechia,CZ576051,CZ053,CZ0
czechia,CZ576069,CZ052,CZ0
czechia,CZ576077,CZ052,CZ0
czechia,CZ576085,CZ052,CZ0
czechia,CZ576093,CZ052,CZ0
czechia,CZ576107,CZ052,CZ0
czechia,CZ576115,CZ052,CZ0
czechia,CZ576123,CZ052,CZ0
czechia,CZ576131,CZ052,CZ0
czechia,CZ576140,CZ052,CZ0
czechia,CZ576166,CZ052,CZ0
czechia,CZ576174,CZ052,CZ0
czechia,CZ576182,CZ052,CZ0
czechia,CZ576191,CZ052,CZ0
czechia,CZ576204,CZ052,CZ0
czechia,CZ576212,CZ052,CZ0
czechia,CZ576221,CZ052,CZ0
czechia,CZ576247,CZ052,CZ0
czechia,CZ576263,CZ052,CZ0
czechia,CZ576271,CZ052,CZ0
czechia,CZ576280,CZ052,CZ0
czechia,CZ576301,CZ052,CZ0
czechia,CZ576310,CZ052,CZ0
czechia,CZ576328,CZ052,CZ0
czechia,CZ576336,CZ052,CZ0
czechia,CZ576352,CZ052,CZ0
czechia,CZ576361,CZ052,CZ0
czechia,CZ576387,CZ052,CZ0
czechia,CZ576395,CZ052,CZ0
czechia,CZ576409,CZ052,CZ0
czechia,CZ576425,CZ052,CZ0
czechia,CZ576433,CZ052,CZ0
czechia,CZ576441,CZ052,CZ0
czechia,CZ576450,CZ052,CZ0
czechia,CZ576468,CZ052,CZ0
czechia,CZ576476,CZ052,CZ0
czechia,CZ576492,CZ052,CZ0
czechia,CZ576506,CZ052,CZ0
czechia,CZ576522,CZ052,CZ0
czechia,CZ576549,CZ052,CZ0
czechia,CZ576557,CZ052,CZ0
czechia,CZ576565,CZ052,CZ0
czechia,CZ576573,CZ052,CZ0
czechia,CZ576581,CZ052,CZ0
czechia,CZ576590,CZ052,CZ0
czechia,CZ576603,CZ052,CZ0
czechia,CZ576611,CZ052,CZ0
czechia,CZ576620,CZ052,CZ0
czechia,CZ576654,CZ052,CZ0
czechia,CZ576662,CZ052,CZ0
