"country","dataset_name","extension","path_input_folder","local_crs","id","height","type_source","age","floors","footprint","type_map","bldg_elem","extra","extra_attrib","nuts_level","nuts_name","is_has_lau_nuts3"
"germany","niedersachsen-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/germany/niedersachsen","EPSG:25832","gml:id","bldg:measuredHeight/[@uom=""urn:ogc:def:uom:UCUM::m""]","bldg:function","None","None","gml:surfaceMember//gml:posList","None","bldg:Building","solid","{'roof type':['uni_attrib','bldg:roofType']}","nuts1","DE9","no"
"germany","mecklenburg-vorpommern-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/germany/mecklenburg-vorpommern","EPSG:25833","gml:id","bu-base:heightAboveGround//bu-base:value[@uom=""m""]","bu-base:currentUse/bu-base:CurrentUse/bu-base:currentUse","None","None","gml:surfaceMember//gml:posList","None","bu-core3d:Building","solid","{'vertical estimated accuracy':['uni_attrib','bu-core3d:verticalGeometryEstimatedAccuracy/[@uom=""m""]']}","nuts1","DE8","no"
"italy","abruzzo-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/abruzzo","EPSG:32633","CR01_IDOBJ","CR359_UN_2","CR01_DESCR","None","None","None","None","None","CR01G_EDIFICI","None","nuts2","ITF1","no"
"italy","basilicata-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/basilicata","EPSG:25833","classid","altezza_vo","tipo_porz","None","None","None","None","None","None","None","nuts2","ITF5","no"
"italy","calabria-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/calabria","EPSG:25833","CLASSREF","None","EDIFC_USO","None","None","None","None","None","EDIFC_CR_EDF_ME","None","nuts2","ITF6","no"
"italy","emilia-romagna-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/emilia_romagna","EPSG:25832","ID_E","H_UVL","None","None","None","None","None","None","None","['D_TY_PORZ']","nuts2","ITH5","no"
"italy","lazio-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/lazio","EPSG:25833","CEDIUV","UN_VOL_AV","EDIFC_USO","None","None","None","None","None","UN_VOL","None","nuts2","ITI4","no"
"italy","liguria-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/liguria","EPSG:3003","id","None","def_cat_us","None","None","None","None","None","None","None","nuts2","ITC3","no"
"italy","lombardia-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/lombardia","EPSG:32632","cr_edf_uui","un_vol_av","edifc_uso","None","None","None","None","None","Corpo_edificato_ingombro_al_suolo","None","nuts2","ITC4","no"
"italy","piemonte-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/piemonte","EPSG:32632","UUID","UN_VOL_AV","EDIFC_USO","None","None","None","None","None","piemonte_edifc","None","nuts2","ITC1","no"
"italy","sardegna-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/sardegna","EPSG:6707","ClassID","Altezza","Uso","None","None","None","None","None","DBGT_CU3_02_EDIFICIO_INGOMBRO_SUOLO","None","nuts2","ITG2","no"
"italy","toscana-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/tuscany","EPSG:3003","id_edifici","None","None","anno","None","None","None","None","compute_height","['q_terra','q_gronda']","nuts2","ITI1","no"
